date, pm25, pm10, o3, no2, so2, co
2024/10/4, 39, 63, 17, 3, 2, 5
2024/10/5, 85, 31, 21, 6, 6, 12
2024/10/6, 54, 27, 14, 4, 2, 5
2024/10/7, 51, 30, 11, 4, 2, 5
2024/10/8, 49, 22, 5, 10, 2, 6
2024/10/9, 46, , , , , 
2024/10/16, 45, 22, 24, 16, 6, 6
2024/10/17, 89, 29, 20, 5, 2, 4
2024/10/18, 43, 24, 20, 2, 1, 4
2024/10/19, 39, 22, 20, 2, 1, 4
2024/10/20, 36, 29, 19, 2, 2, 5
2024/10/21, 42, 100, 19, 3, 1, 5
2024/10/22, 77, 30, 18, 4, 2, 5
2024/10/23, 54, 31, 26, 6, 7, 8
2024/10/24, 41, 35, 17, 4, 2, 5
2024/10/25, 47, 38, 17, 5, 2, 5
2024/10/26, 48, 27, 20, 4, 2, 6
2024/10/27, 44, 26, 19, 3, 2, 6
2024/10/28, 40, 26, 19, 4, 2, 6
