# Sensor Coronel Sur, Chile (Sistema Nacional de Calidad del Aire en Chile/816)
# https://aqicn.org/station/@500230/
# Daily so2
date,min,max,median,q1,q3,stdev,count
2024-11-24T00:00:00.000Z,1,1.39,1,1,1.13,0.117,24
2024-11-25T00:00:00.000Z,1,2.31,1.02,1,1.34,0.405,24
2024-11-26T00:00:00.000Z,1,57.51,1.03,1,1.27,11.259,24
2024-11-27T00:00:00.000Z,1,2.62,1.12,1.03,1.56,0.487,23
2024-11-28T00:00:00.000Z,1,2.96,1.08,1,1.28,0.442,19
2024-11-29T00:00:00.000Z,1,2.16,1.24,1.02,1.49,0.353,23
2024-11-30T00:00:00.000Z,1,2.97,1.25,1.07,1.74,0.53,23
2024-12-01T00:00:00.000Z,1,2.16,1,1,1.08,0.279,20
2024-12-02T00:00:00.000Z,1,1.67,1.02,1,1.23,0.225,20
2024-12-03T00:00:00.000Z,1,1.78,1.12,1,1.29,0.268,23
2024-12-04T00:00:00.000Z,1,8.97,1.19,1.05,2.11,1.852,23
2024-12-05T00:00:00.000Z,1,4.12,1,1,1,0.663,21
2024-12-06T00:00:00.000Z,1,2.02,1,1,1.15,0.242,24
2024-12-07T00:00:00.000Z,1,1.8,1.1,1,1.37,0.243,24
2024-12-08T00:00:00.000Z,1,1.29,1,1,1.02,0.091,23
2024-12-09T00:00:00.000Z,1,67.2,1.05,1,1.42,15.134,18
2024-12-16T00:00:00.000Z,1.04,1.7,1.14,1.09,1.35,0.21,8
2024-12-17T00:00:00.000Z,1,7.82,1.43,1.07,2.16,1.429,24
2024-12-18T00:00:00.000Z,1,2.75,1.12,1,1.28,0.409,17
2024-12-19T00:00:00.000Z,1,1.98,1,1,1,0.196,24
2024-12-20T00:00:00.000Z,1,1.61,1,1,1,0.163,24
2024-12-21T00:00:00.000Z,1,1,1,1,1,0,24
2024-12-22T00:00:00.000Z,1,4.34,1,1,1,0.754,23
2024-12-23T00:00:00.000Z,1,1,1,1,1,0,24
