date, pm25, pm10, o3, no2, so2, co
2025/2/25, 78, 49, 11, 11, 3, 3
2025/2/26, 72, 54, 19, 11, 1, 2
2025/2/27, 75, 49, 7, 7, , 3
2025/2/28, 75, 27, 14, 3, , 3
2025/3/1, 59, 19, 14, 2, , 3
2025/3/2, 60, 25, 13, 2, , 3
2025/3/3, 61, 22, 13, 3, , 3
2025/3/4, 59, 35, 14, 4, , 3
2025/3/5, 68, 54, 16, 4, , 3
2025/3/6, 65, 16, 66, 2, , 8
2025/3/7, 62, 10, 13, 3, , 2
2025/3/8, 53, 38, 10, 11, 1, 2
2025/3/9, 63, 42, 12, 13, 4, 2
2025/3/10, 73, 35, 8, 11, 1, 3
2025/3/11, 72, 52, 12, 12, , 2
2025/3/12, 80, 48, 12, 14, , 3
2025/3/13, 75, 46, 14, 12, 1, 3
2025/3/14, 71, 35, 21, 7, , 3
2025/3/15, 74, 42, 20, 5, , 4
2025/3/16, 77, 52, 17, 6, , 3
2025/3/17, 77, 49, 10, 9, , 3
2025/3/18, 71, 48, 14, 8, , 3
2025/3/19, 73, 47, 13, 10, 1, 3
2025/3/20, 74, 36, 24, 8, 1, 4
2025/3/21, 73, 44, 8, 9, 1, 4
2025/3/22, 71, 62, 10, 13, 1, 3
2025/3/23, 88, 68, 18, 9, , 4
2025/3/24, 83, 57, 19, 14, 1, 4
2025/3/25, 97, 53, 31, 6, , 6
2025/3/26, 97, 46, 10, 4, , 5
2025/3/27, 105, 44, 10, 8, , 5
2025/3/28, 79, 33, 14, 5, , 5
2025/3/29, 71, 33, 11, 3, , 6
2025/3/30, 106, 20, 15, 4, , 6
2025/3/31, 76, 31, 11, 9, , 5
2025/4/1, 84, 27, 7, 9, , 6
2024/10/2, 66, 38, 11, 13, , 7
2024/10/3, 61, 51, 13, 9, , 12
2024/10/4, 99, 53, 26, 8, 1, 14
2024/10/5, 108, 45, 25, 8, 1, 9
2024/10/6, 103, 46, 12, 5, , 13
2024/10/7, 90, 46, 18, 11, 1, 8
2024/10/8, 53, 36, 23, 7, 1, 9
2024/10/9, 57, 34, 31, 6, 1, 9
2024/10/10, 55, 34, 26, 6, , 8
2024/10/11, 31, 12, 23, 5, , 8
2024/10/12, 33, 30, 15, 8, , 8
2024/10/13, 45, 22, 21, 7, , 8
2024/10/14, 36, 35, 13, 8, , 8
2024/10/15, 80, 39, 33, 7, , 8
2024/10/16, 44, 19, 22, 4, , 9
2024/10/17, 42, 24, 15, 8, , 6
2024/10/18, 39, 39, 22, 7, 1, 3
2024/10/19, 46, 36, 28, 5, , 3
2024/10/20, 48, 14, 18, 4, , 4
2024/10/21, 43, 27, 15, 8, 2, 4
2024/10/22, 47, 27, 24, 7, 1, 3
2024/10/23, 43, 15, 21, 1, , 4
2024/10/24, 82, 17, 17, 3, , 5
2024/10/25, 112, 15, 15, 20, 3, 3
2024/10/26, 51, 57, 16, 23, 6, 2
2024/10/27, 131, 37, 16, 22, 5, 2
2024/10/28, 197, 50, 15, 23, 4, 2
2024/10/29, 87, 35, 37, 9, 1, 3
2024/10/30, 48, 12, 15, 3, , 4
2024/10/31, 167, 26, 41, 3, , 5
2024/11/1, 47, 13, 17, 2, , 5
2024/11/2, 43, 23, 26, 4, , 5
2024/11/3, 54, 23, 18, 2, , 5
2024/11/4, 231, 23, 22, 4, , 6
2024/11/5, 55, 38, 21, 7, , 5
2024/11/6, 64, 39, 18, 13, 1, 3
2024/11/7, 39, 34, 18, 11, 1, 3
2024/11/8, 36, 26, 26, 6, , 4
2024/11/9, 46, 19, 15, 2, , 6
2024/11/10, 47, 18, 20, 2, , 5
2024/11/11, 39, 26, 16, 9, 1, 4
2024/11/12, 46, 51, 14, 20, 2, 4
2024/11/13, 59, 52, 17, 20, 1, 4
2024/11/14, 59, 26, 16, 7, 1, 4
2024/11/15, 25, 25, 17, 3, , 4
2024/11/16, 293, 49, 13, 8, 2, 4
2024/11/17, 55, 32, 14, 6, 5, 4
2024/11/18, 80, 29, 26, 4, 1, 4
2024/11/19, 89, 30, 20, 2, , 5
2024/11/20, 52, 33, 25, 4, , 5
2024/11/21, 45, 31, 22, 3, , 5
2024/11/22, 75, 22, 15, 2, , 5
2024/11/23, 67, 24, 17, 2, , 5
2024/11/24, 132, 19, 17, 1, , 5
2024/11/25, 93, 29, 16, 1, , 5
2024/11/26, 108, 21, 17, 3, , 5
2024/11/27, 26, 20, 17, 3, 1, 5
2024/11/28, 96, 40, 12, 7, , 6
2024/11/29, 56, 39, 18, 7, , 6
2024/11/30, 51, 34, 20, 5, , 6
2024/12/1, 52, 21, 15, 2, , 6
2024/12/2, 30, 63, 11, 12, 2, 6
2024/12/3, 71, 31, 19, 6, 4, 7
2024/12/4, 40, 31, 21, 3, 1, 7
2024/12/5, 79, 14, 12, 1, , 7
2024/12/6, 64, 27, 10, 7, 2, 6
2024/12/7, 71, 32, 17, 14, 2, 6
2024/12/8, 80, 26, 13, 14, 1, 7
2024/12/9, 87, 34, 18, 16, , 6
2024/12/10, 88, 44, 17, 18, 1, 7
2024/12/11, 93, 42, 12, 17, 1, 7
2024/12/12, 91, 32, 8, 14, , 8
2024/12/13, 76, 42, 11, 10, , 8
2024/12/14, 87, 37, 18, 9, 2, 8
2024/12/15, 85, 29, 33, 5, , 8
2024/12/16, 78, 35, 27, 4, , 8
2024/12/17, 80, 36, 14, 7, 1, 8
2024/12/18, 80, 34, 9, 9, 2, 8
2024/12/19, 91, 44, 9, 7, 2, 7
2024/12/20, 83, 27, 15, 4, , 6
2024/12/21, 73, 40, 11, 6, 1, 6
2024/12/22, 76, 53, 13, 10, 5, 6
2024/12/23, 86, 34, 9, 9, 3, 6
2024/12/24, 82, 55, 10, 13, 5, 6
2024/12/25, 99, 34, 27, 5, 1, 6
2024/12/26, 81, 34, 39, 2, , 6
2024/12/27, 82, 37, 15, 4, , 6
2024/12/28, 88, 39, 51, 4, , 6
2024/12/29, 88, 35, 22, 6, , 6
2024/12/30, 85, , , , , 
2024/7/2, 98, 31, 16, 2, , 9
2024/7/3, 74, 77, 13, 5, 1, 19
2024/7/4, 157, 85, 13, 7, 1, 25
2024/7/5, 171, 42, 12, 9, , 6
2024/7/6, 60, 55, 12, 6, , 11
2024/7/7, 116, 60, 12, 5, , 17
2024/7/8, 132, 72, 8, 6, 1, 19
2024/7/9, 130, 102, 10, 7, , 24
2024/7/10, 177, 96, 8, 7, 1, 25
2024/7/11, 186, 105, 10, 9, 1, 27
2024/7/12, 196, 130, 14, 9, , 33
2024/7/13, 266, 86, 7, 4, , 21
2024/7/14, 194, 52, 4, , , 17
2024/7/15, 150, , , , , 
2024/7/17, 173, 76, 3, 2, , 44
2024/7/18, 172, 82, 15, 5, , 40
2024/7/19, 144, 53, 15, 5, , 17
2024/7/20, 59, 101, 9, 5, , 35
2024/7/21, 175, 76, 15, 3, , 36
2024/7/22, 158, 157, 14, 6, , 56
2024/7/23, 258, 125, 4, 3, , 55
2024/7/24, 236, 78, 15, 1, , 50
2024/7/25, 184, 35, 11, 4, , 25
2024/7/26, 91, 62, 4, 10, , 13
2024/7/27, 124, 77, 20, 9, , 21
2024/7/28, 154, 49, 21, 13, , 9
2024/7/29, 55, 104, 16, 13, , 32
2024/7/30, 200, 118, 7, 13, 1, 34
2024/7/31, 249, 72, 19, 8, , 24
2024/8/1, 156, 11, 34, 3, 4, 13
2024/8/2, 60, 37, 15, 14, 1, 17
2024/8/3, 79, 47, 17, 6, 1, 28
2024/8/4, 114, 50, 21, 5, 1, 12
2024/8/5, 136, 42, 20, 5, 1, 9
2024/8/6, 148, 56, 12, 4, 1, 11
2024/8/7, 140, 64, 10, 7, 1, 13
2024/8/8, 133, 131, 6, 7, 1, 32
2024/8/9, 258, 117, 11, 8, 2, 27
2024/8/10, 211, 45, 17, 2, 1, 8
2024/8/11, 89, 61, 13, 5, 1, 10
2024/8/12, 107, 49, 8, 3, 1, 8
