date, pm25, pm10, o3, no2, so2, co
2024/9/26, 68, 28, 15, 7, 1, 3
2024/9/27, 68, 36, 18, 6, 1, 3
2024/9/28, 103, 39, 15, 9, , 4
2024/9/29, 110, 25, 20, 2, 1, 3
2024/9/30, 79, 20, 20, 5, , 5
2024/10/1, 70, 31, 19, 7, 5, 3
2024/4/2, 57, 24, 11, 6, , 4
2024/4/3, 36, 26, 13, 5, 1, 4
2024/4/4, 47, 24, 12, 4, 9, 3
2024/4/5, 48, 22, 11, 5, 10, 3
2024/4/6, 43, 18, 12, 5, 8, 4
2024/4/7, 45, 16, 12, 4, 9, 3
2024/4/8, 42, 19, 10, 4, 3, 3
2024/4/9, 44, 41, 10, 6, 13, 3
2024/4/10, 82, 42, 8, 11, 1, 6
2024/4/11, 71, 48, 9, 9, , 10
2024/4/12, 88, 61, 15, 7, 1, 12
2024/4/13, 131, 35, 17, 7, , 5
2024/4/14, 74, 27, 16, 4, , 5
2024/4/15, 54, 30, 12, 8, , 5
2024/4/16, 63, 24, 15, 6, , 5
2024/4/17, 56, 26, 13, 7, 5, 5
2024/4/18, 57, 26, 12, 6, 1, 7
2024/4/19, 59, 28, 11, 6, 6, 5
2024/4/20, 52, 38, 14, 7, 6, 8
2024/4/21, 72, 34, 14, 5, , 6
2024/4/22, 72, 28, 14, 6, 1, 7
2024/4/23, 58, 44, 15, 7, 7, 10
2024/4/24, 109, 62, 13, 7, 1, 7
2024/4/25, 156, 45, 10, 9, 1, 8
2024/4/26, 114, 31, 15, 6, 3, 8
2024/4/27, 54, 52, 15, 6, 1, 11
2024/4/28, 118, 40, 14, 6, , 9
2024/4/29, 95, 12, 17, 3, , 2
2024/4/30, 30, 24, 14, 10, , 3
2024/5/1, 58, 48, 15, 6, 1, 14
2024/5/2, 125, 45, 14, 5, 2, 4
2024/5/3, 121, 48, 14, 7, , 7
2024/5/4, 122, 26, 17, 4, , 
2024/5/5, 70, 38, 14, 7, 1, 5
2024/5/6, 112, 26, 16, 4, , 1
2024/5/7, 78, 40, 17, 7, 1, 8
2024/5/8, 64, 65, 7, 9, , 10
2024/5/9, 132, 48, 11, 9, , 12
2024/5/10, 110, 109, 12, 9, , 24
2024/5/11, 174, 71, 10, 10, , 16
