date, pm25, pm10, o3, no2, so2, co
2024/6/25, 73, 32, 14, 8, 13, 3
2024/6/26, 66, 49, 8, 13, 20, 6
2024/6/27, 94, 37, 12, 12, 19, 3
2024/6/28, 73, 52, 7, 11, 17, 5
2024/6/29, 94, 56, 7, 12, 19, 5
2024/6/30, 103, 46, 13, 13, 20, 6
2024/7/1, 92, 48, 9, 14, 23, 5
2024/1/2, 39, 30, 14, 3, 5, 1
2024/1/3, 32, 26, 11, 2, 4, 1
2024/1/4, 31, 21, 19, 3, 4, 9
2024/1/5, 25, 16, 15, 2, 3, 1
2024/1/6, 25, 16, 20, 3, 5, 1
2024/1/7, 19, 20, 18, 3, 4, 1
2024/1/8, 21, 25, 22, 4, 6, 1
2024/1/9, 27, 31, 19, 3, 6, 1
2024/1/10, 30, 45, 24, 5, 8, 19
2024/1/11, 43, 39, 14, 3, 5, 1
2024/1/12, 44, 35, 14, 3, 5, 1
2024/1/13, 39, 30, 15, 3, 5, 1
2024/1/14, 35, 34, 25, 5, 9, 1
2024/1/15, 35, 39, 20, 6, 9, 1
2024/1/16, 39, 30, 27, 4, 7, 11
2024/1/17, 28, 38, 15, 5, 8, 1
2024/1/18, 40, 34, 22, 5, 8, 1
2024/1/19, 36, 52, 21, 6, 9, 1
2024/1/20, 56, 50, 17, 4, 7, 1
2024/1/21, 59, 41, 15, 3, 5, 
2024/1/22, 51, 38, 17, 4, 7, 1
2024/1/23, 44, 30, 17, 4, 7, 1
2024/1/24, 34, 35, 17, 4, 6, 1
2024/1/25, 39, 22, 13, 4, 6, 1
2024/1/26, 32, 19, 19, 4, 6, 10
2024/1/27, 30, 26, 17, 4, 6, 1
2024/1/28, 27, 17, 17, 3, 5, 
2024/1/29, 28, 24, 17, 3, 5, 
2024/1/30, 32, 36, 18, 4, 7, 
2024/1/31, 44, 39, 22, 5, 8, 1
2024/2/1, 43, 39, 28, 5, 8, 15
2024/2/2, 53, , , , , 
2024/2/8, 28, 38, 14, 4, 6, 1
2024/2/9, 47, 44, 13, 4, 7, 1
2024/2/10, 45, 38, 20, 5, 8, 1
2024/2/11, 40, 29, 16, 2, 4, 1
2024/2/12, 30, 42, 27, 5, 8, 1
2024/2/13, 42, 41, 23, 4, 7, 16
2024/2/14, 46, 32, 14, 2, 3, 1
2024/2/15, 28, 27, 14, 2, 4, 
2024/2/16, 31, 26, 16, 3, 5, 
2024/2/17, 36, 37, 25, 5, 8, 1
2024/2/18, 47, 49, 16, 4, 7, 1
2024/2/19, 55, 28, 15, 3, 5, 
2024/2/20, 36, 25, 18, 3, 5, 30
2024/2/21, 21, 26, 11, 2, 4, 1
2024/2/22, 20, 13, 6, 4, 7, 1
2024/2/23, 16, 21, 20, 5, 8, 1
2024/2/24, 24, 33, 13, 5, 8, 1
2024/2/25, 35, 29, 17, 3, 6, 
2024/2/26, 37, 36, 19, 3, 6, 1
2024/2/27, 46, 41, 18, 10, 12, 4
2024/2/28, 42, 39, 17, 8, 13, 1
2024/2/29, 47, 41, 18, 7, 12, 1
2024/3/1, 42, 40, 15, 3, 5, 1
2024/3/2, 49, 43, 19, 4, 7, 1
2024/3/3, 51, 43, 18, 4, 7, 1
2024/3/4, 52, 50, 19, 3, 6, 2
2024/3/5, 52, 46, 17, 3, 5, 1
2024/3/6, 54, 35, 16, 2, 4, 1
2024/3/7, 45, 40, 13, 3, 6, 1
2024/3/8, 50, 30, 22, 4, 7, 10
2024/3/9, 35, 35, 23, 5, 9, 1
2024/3/10, 38, 37, 14, 5, 8, 1
2024/3/11, 40, 30, 14, 5, 8, 1
2024/3/12, 39, 30, 25, 5, 9, 9
2024/3/13, 26, 33, 19, 4, 7, 2
2024/3/14, 31, 39, 23, 6, 9, 2
2024/3/15, 38, 39, 15, 8, 12, 2
2024/3/16, 41, , , , , 
2024/3/20, 18, 22, 12, 4, 6, 1
2024/3/21, 26, 39, 27, 8, 12, 6
2024/3/22, 39, 47, 20, 9, 15, 1
2024/3/23, 45, 37, 18, 7, 11, 2
2024/3/24, 40, 33, 20, 6, 9, 1
2024/3/25, 40, 28, 11, 4, 7, 
2024/3/26, 38, 37, 17, 5, 8, 1
2024/3/27, 51, 36, 2, 10, 15, 
2024/3/28, 74, , , , , 
2023/10/2, 34, 28, 24, 4, 6, 1
2023/10/3, 43, 23, 27, 4, 6, 6
2023/10/4, 27, 27, 24, 7, 12, 1
2023/10/5, 42, 29, , 6, 10, 1
2023/10/6, 47, 23, 2, 5, 8, 1
2023/10/7, 35, 32, 30, 7, 11, 1
2023/10/8, 52, 39, 24, 7, 11, 1
2023/10/9, 59, 40, 21, 7, 12, 2
2023/10/10, 60, 26, 16, 5, 9, 1
2023/10/11, 37, 26, 28, 4, 7, 13
2023/10/12, 42, 38, 28, 9, 14, 1
2023/10/13, 57, 43, 29, 8, 13, 1
2023/10/14, 58, 45, 20, 8, 12, 2
2023/10/15, 62, 36, 23, 6, 10, 2
2023/10/16, 59, 33, 25, 6, 10, 1
2023/10/17, 56, 41, 22, 7, 11, 1
2023/10/18, 54, 35, 25, 6, 9, 11
2023/10/19, 42, 41, 23, 8, 13, 1
2023/10/20, 57, 37, 19, 6, 10, 1
2023/10/21, 55, 28, 18, 4, 7, 1
2023/10/22, 40, 33, 18, 6, 10, 1
2023/10/23, 51, 25, 23, 4, 6, 21
